x_value,total_1,total_2
0,1000,1000
1,1006,1006
2,1003,1009
3,1005,1008
4,1001,1013
5,996,1013
6,1003,1015
7,998,1012
8,999,1007
9,995,1005
10,993,1008
11,1001,1010
12,996,1008
13,992,1010
14,995,1013
15,1003,1019
16,1003,1020
17,999,1026
18,1003,1027
19,1011,1029
20,1005,1028
21,1007,1028
22,1012,1033
23,1017,1029
24,1013,1033
25,1015,1034
26,1015,1034
27,1018,1040
28,1017,1041
29,1016,1044
30,1017,1042
31,1015,1041
32,1022,1043
33,1028,1046
34,1033,1046
35,1029,1051
36,1029,1050
37,1027,1053
38,1027,1056
39,1032,1052
40,1031,1057
41,1033,1059
42,1027,1057
43,1034,1054
44,1040,1051
45,1034,1046
46,1040,1047
47,1047,1048
48,1043,1046
49,1048,1048
50,1047,1051
51,1049,1055
52,1052,1055
53,1053,1051
54,1052,1057
55,1052,1058
56,1052,1059
57,1047,1063
58,1055,1058
59,1054,1053
60,1048,1052
61,1051,1050
62,1049,1054
63,1050,1060
64,1058,1058
65,1065,1062
66,1066,1066
67,1061,1063
68,1061,1066
69,1058,1063
70,1061,1059
71,1068,1057
72,1067,1056
73,1075,1055
74,1081,1056
75,1079,1053
76,1076,1056
77,1080,1057
78,1084,1056
79,1092,1054
80,1099,1060
81,1094,1065
82,1088,1060
83,1092,1056
84,1098,1060
85,1097,1061
86,1092,1067
87,1099,1073
88,1106,1069
89,1111,1073
90,1116,1070
91,1111,1065
92,1115,1065
93,1116,1067
94,1110,1070
95,1109,1075
96,1109,1072
97,1117,1077
98,1111,1073
99,1117,1074
100,1114,1069
101,1120,1070
102,1121,1068
103,1120,1067
104,1123,1072
105,1124,1069
106,1131,1075
107,1131,1070
108,1133,1074
109,1127,1079
110,1135,1075
111,1140,1073
112,1139,1079
113,1133,1084
114,1132,1081
115,1130,1080
116,1130,1085
117,1128,1089
118,1131,1093
119,1125,1095
120,1127,1098
121,1130,1095
122,1132,1092
123,1136,1098
124,1141,1096
125,1137,1097
126,1137,1092
127,1142,1097
128,1136,1103
129,1131,1100
130,1134,1095
131,1142,1098
132,1142,1095
133,1145,1093
134,1152,1095
135,1148,1098
136,1154,1096
137,1153,1097
138,1155,1095
139,1163,1096
140,1167,1096
141,1168,1094
142,1173,1092
143,1169,1098
144,1174,1100
145,1172,1102
146,1178,1106
147,1182,1105
148,1177,1105
149,1173,1108
150,1172,1109
151,1172,1107
152,1169,1111
153,1163,1117
154,1166,1123
155,1172,1123
156,1171,1125
157,1174,1130
158,1170,1130
159,1175,1129
160,1170,1134
161,1178,1140
162,1172,1144
163,1178,1145
164,1172,1143
165,1172,1148
166,1179,1145
167,1173,1146
168,1167,1148
169,1172,1148
170,1172,1151
171,1175,1155
172,1183,1161
173,1191,1167
174,1194,1163
175,1189,1163
176,1195,1159
177,1189,1165
178,1197,1161
179,1194,1166
180,1201,1165
181,1196,1167
182,1197,1163
183,1203,1163
184,1210,1158
185,1204,1159
186,1205,1155
187,1201,1150
188,1207,1153
189,1212,1152
190,1208,1158
191,1205,1162
192,1212,1163
193,1212,1163
194,1206,1160
195,1211,1157
196,1205,1162
197,1207,1162
198,1212,1160
199,1219,1155
200,1222,1156
201,1226,1156
202,1222,1154
203,1217,1155
204,1218,1159
205,1212,1155
206,1219,1156
207,1221,1162
208,1217,1160
209,1222,1159
210,1221,1158
211,1227,1159
212,1234,1163
213,1232,1161
214,1234,1158
215,1228,1153
216,1231,1150
217,1231,1147
218,1234,1150
219,1239,1155
220,1237,1151
221,1242,1153
222,1236,1155
223,1235,1155
224,1237,1154
225,1233,1157
226,1230,1163
227,1229,1166
228,1233,1172
229,1232,1172
230,1240,1173
231,1235,1171
232,1243,1169
233,1241,1171
234,1244,1170
235,1240,1171
236,1241,1170
237,1247,1175
238,1249,1181
239,1248,1179
240,1249,1183
241,1253,1184
242,1256,1185
243,1252,1189
244,1260,1191
245,1268,1192
246,1271,1194
247,1273,1198
248,1272,1197
249,1273,1203
250,1277,1205
251,1278,1205
252,1272,1204
253,1278,1201
254,1280,1200
255,1282,1205
256,1290,1203
257,1298,1205
258,1303,1211
259,1303,1215
260,1308,1211
261,1305,1209
262,1306,1207
263,1312,1203
264,1309,1205
265,1314,1210
266,1312,1208
267,1309,1214
268,1311,1210
269,1308,1212
270,1309,1211
271,1312,1213
272,1315,1210
273,1311,1211
274,1314,1216
275,1311,1220
276,1310,1219
277,1311,1214
278,1313,1219
279,1309,1218
280,1307,1218
281,1306,1215
282,1305,1214
283,1305,1211
284,1309,1215
285,1309,1212
286,1307,1211
287,1302,1217
288,1307,1222
289,1309,1222
290,1310,1217
291,1308,1222
292,1309,1220
293,1310,1224
294,1312,1226
295,1309,1225
296,1313,1223
297,1313,1219
298,1315,1224
299,1318,1223
300,1322,1224
301,1323,1220
302,1328,1224
303,1323,1228
304,1326,1232
305,1327,1232
306,1324,1236
307,1320,1241
308,1315,1236
309,1323,1236
310,1320,1232
311,1321,1234
312,1318,1238
313,1314,1235
314,1314,1230
315,1314,1232
316,1322,1236
317,1318,1238
318,1324,1233
319,1322,1234
320,1317,1229
321,1317,1231
322,1313,1229
323,1318,1234
324,1317,1230
325,1311,1225
326,1312,1226
327,1313,1232
328,1308,1230
329,1311,1234
330,1314,1235
331,1320,1241
332,1319,1246
333,1313,1242
334,1309,1242
335,1315,1243
336,1320,1241
